Case | Material | 18-carat yellow gold, polished and curved bezel
Movement and Caseback | Function | Hours and minutes, time setting by a corrector on the case-back
Movement and Caseback | Caseback | Engraved with Hortensia decoration & “Limited Edition”
Bracelet and Buckle | Bracelet | Light pink powdered satin strap, with beige leather lining
Bracelet and Buckle | Buckle | Flower-shaped stainless steel pin buckle

Case | Material | Stainless steel, bezel set with 27 brilliant-cut diamonds (0,40 cts) and decorated with 3 flowers of stainless steel set with 3 brilliant-cut diamonds (0,026 cts)
Case | Diameter | 21.5mm
Case | Thickness | 7.7mm
Case | Glass | Curved sapphire crystal with anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | Pink seawater mother-of-pearl dial
Dial and Hands | Hands | Leaf-shaped; rhodium plated and polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.01ct)
Movement and Caseback | Caliber | High-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, time setting by a corrector on the case-back
Movement and Caseback | Caseback | Engraved with Hortensia decoration & “Limited Edition”
Bracelet and Buckle | Bracelet | Light pink powdered satin strap, with beige leather lining
Bracelet and Buckle | Buckle | Flower-shaped stainless steel pin buckle

Case | Material | Stainless steel, bezel set with 27 brilliant-cut diamonds (0,40 cts) and decorated with 3 flowers of stainless steel set with 3 brilliant-cut diamonds (0,026 cts)
Case | Diameter | 21.5mm
Case | Thickness | 7.7mm
Case | Glass | Curved sapphire crystal with anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | Pink seawater mother-of-pearl dial
Dial and Hands | Hands | Leaf-shaped; rhodium plated and polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.01ct)
Movement and Caseback | Caliber | High-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, time setting by a corrector on the case-back
Movement and Caseback | Caseback | Engraved with Hortensia decoration & “Limited Edition”
Bracelet and Buckle | Bracelet | Light pink powdered satin strap, with beige leather lining
Bracelet and Buckle | Buckle | Flower-shaped stainless steel pin buckle

Case | Material | Stainless steel, bezel set with 27 brilliant-cut diamonds (0,40 cts) and decorated with 3 flowers of stainless steel set with 3 brilliant-cut diamonds (0,026 cts)
Case | Diameter | 21.5mm
Case | Thickness | 7.7mm
Case | Glass | Curved sapphire crystal with anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | Pink seawater mother-of-pearl dial
Dial and Hands | Hands | Leaf-shaped; rhodium plated and polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.01ct)
Movement and Caseback | Caliber | High-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, time setting by a corrector on the case-back
Movement and Caseback | Caseback | Engraved with Hortensia decoration & “Limited Edition”
Bracelet and Buckle | Bracelet | Light pink powdered satin strap, with beige leather lining
Bracelet and Buckle | Buckle | Flower-shaped stainless steel pin buckle

Case | Material | Stainless steel, bezel set with 27 brilliant-cut diamonds (0,40 cts) and decorated with 3 flowers of stainless steel set with 3 brilliant-cut diamonds (0,026 cts)
Case | Diameter | 21.5mm
Case | Thickness | 7.7mm
Case | Glass | Curved sapphire crystal with anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | Pink seawater mother-of-pearl dial
Dial and Hands | Hands | Leaf-shaped; rhodium plated and polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.01ct)
Movement and Caseback | Caliber | High-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, time setting by a corrector on the case-back
Movement and Caseback | Caseback | Engraved with Hortensia decoration & “Limited Edition”
Bracelet and Buckle | Bracelet | Light pink powdered satin strap, with beige leather lining
Bracelet and Buckle | Buckle | Flower-shaped stainless steel pin buckle

Case | Material | Stainless steel, bezel set with 27 brilliant-cut diamonds (0,40 cts) and decorated with 3 flowers of stainless steel set with 3 brilliant-cut diamonds (0,026 cts)
Case | Diameter | 21.5mm
Case | Thickness | 7.7mm
Case | Glass | Curved sapphire crystal with anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | Pink seawater mother-of-pearl dial
Dial and Hands | Hands | Leaf-shaped; rhodium plated and polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.01ct)
Movement and Caseback | Caliber | High-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, time setting by a corrector on the case-back
Movement and Caseback | Caseback | Engraved with Hortensia decoration & “Limited Edition”
Bracelet and Buckle | Bracelet | Light pink powdered satin strap, with beige leather lining
Bracelet and Buckle | Buckle | Flower-shaped stainless steel pin buckle

Case | Material | Stainless steel, bezel set with 27 brilliant-cut diamonds (0,40 cts) and decorated with 3 flowers of stainless steel set with 3 brilliant-cut diamonds (0,026 cts)
Case | Diameter | 21.5mm
Case | Thickness | 7.7mm
Case | Glass | Curved sapphire crystal with anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | Pink seawater mother-of-pearl dial
Dial and Hands | Hands | Leaf-shaped; rhodium plated and polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.01ct)
Movement and Caseback | Caliber | High-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, time setting by a corrector on the case-back
Movement and Caseback | Caseback | Engraved with Hortensia decoration & “Limited Edition”
Bracelet and Buckle | Bracelet | Light pink powdered satin strap, with beige leather lining
Bracelet and Buckle | Buckle | Flower-shaped stainless steel pin buckle

Case | Material | Stainless steel, bezel set with 27 brilliant-cut diamonds (0,40 cts) and decorated with 3 flowers of stainless steel set with 3 brilliant-cut diamonds (0,026 cts)
Case | Diameter | 21.5mm
Case | Thickness | 7.7mm
Case | Glass | Curved sapphire crystal with anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | Pink seawater mother-of-pearl dial
Dial and Hands | Hands | Leaf-shaped; rhodium plated and polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.01ct)
Movement and Caseback | Caliber | High-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, time setting by a corrector on the case-back
Movement and Caseback | Caseback | Engraved with Hortensia decoration & “Limited Edition”
Bracelet and Buckle | Bracelet | Light pink powdered satin strap, with beige leather lining
Bracelet and Buckle | Buckle | Flower-shaped stainless steel pin buckle

Case | Material | Stainless steel, bezel set with 27 brilliant-cut diamonds (0,40 cts) and decorated with 3 flowers of stainless steel set with 3 brilliant-cut diamonds (0,026 cts)
Case | Diameter | 21.5mm
Case | Thickness | 7.7mm
Case | Glass | Curved sapphire crystal with anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | Pink seawater mother-of-pearl dial
Dial and Hands | Hands | Leaf-shaped; rhodium plated and polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.01ct)
Movement and Caseback | Caliber | High-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, time setting by a corrector on the case-back
Movement and Caseback | Caseback | Engraved with Hortensia decoration & “Limited Edition”
Bracelet and Buckle | Bracelet | Light pink powdered satin strap, with beige leather lining
Bracelet and Buckle | Buckle | Flower-shaped stainless steel pin buckle

Case | Material | Stainless steel, bezel set with 27 brilliant-cut diamonds (0,40 cts) and decorated with 3 flowers of stainless steel set with 3 brilliant-cut diamonds (0,026 cts)
Case | Diameter | 21.5mm
Case | Thickness | 7.7mm
Case | Glass | Curved sapphire crystal with anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | Pink seawater mother-of-pearl dial
Dial and Hands | Hands | Leaf-shaped; rhodium plated and polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.01ct)
Movement and Caseback | Caliber | High-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, time setting by a corrector on the case-back
Movement and Caseback | Caseback | Engraved with Hortensia decoration & “Limited Edition”
Bracelet and Buckle | Bracelet | Light pink powdered satin strap, with beige leather lining
Bracelet and Buckle | Buckle | Flower-shaped stainless steel pin buckle

Case | Material | Stainless steel, bezel set with 27 brilliant-cut diamonds (0,40 cts) and decorated with 3 flowers of stainless steel set with 3 brilliant-cut diamonds (0,026 cts)
Case | Diameter | 21.5mm
Case | Thickness | 7.7mm
Case | Glass | Curved sapphire crystal with anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | Pink seawater mother-of-pearl dial
Dial and Hands | Hands | Leaf-shaped; rhodium plated and polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.01ct)
Movement and Caseback | Caliber | High-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, time setting by a corrector on the case-back
Movement and Caseback | Caseback | Engraved with Hortensia decoration & “Limited Edition”
Bracelet and Buckle | Bracelet | Light pink powdered satin strap, with beige leather lining
Bracelet and Buckle | Buckle | Flower-shaped stainless steel pin buckle

Case | Material | Stainless steel, bezel set with 27 brilliant-cut diamonds (0,40 cts) and decorated with 3 flowers of stainless steel set with 3 brilliant-cut diamonds (0,026 cts)
Case | Diameter | 21.5mm
Case | Thickness | 7.7mm
Case | Glass | Curved sapphire crystal with anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | Pink seawater mother-of-pearl dial
Dial and Hands | Hands | Leaf-shaped; rhodium plated and polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.01ct)
Movement and Caseback | Caliber | High-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, time setting by a corrector on the case-back
Movement and Caseback | Caseback | Engraved with Hortensia decoration & “Limited Edition”
Bracelet and Buckle | Bracelet | Light pink powdered satin strap, with beige leather lining
Bracelet and Buckle | Buckle | Flower-shaped stainless steel pin buckle

Case | Material | Stainless steel, bezel set with 27 brilliant-cut diamonds (0,40 cts) and decorated with 3 flowers of stainless steel set with 3 brilliant-cut diamonds (0,026 cts)
Case | Diameter | 21.5mm
Case | Thickness | 7.7mm
Case | Glass | Curved sapphire crystal with anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | Pink seawater mother-of-pearl dial
Dial and Hands | Hands | Leaf-shaped; rhodium plated and polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.01ct)
Movement and Caseback | Caliber | High-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, time setting by a corrector on the case-back
Movement and Caseback | Caseback | Engraved with Hortensia decoration & “Limited Edition”
Bracelet and Buckle | Bracelet | Light pink powdered satin strap, with beige leather lining
Bracelet and Buckle | Buckle | Flower-shaped stainless steel pin buckle

Case | Material | Stainless steel, bezel set with 27 brilliant-cut diamonds (0,40 cts) and decorated with 3 flowers of stainless steel set with 3 brilliant-cut diamonds (0,026 cts)
Case | Diameter | 21.5mm
Case | Thickness | 7.7mm
Case | Glass | Curved sapphire crystal with anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | Pink seawater mother-of-pearl dial
Dial and Hands | Hands | Leaf-shaped; rhodium plated and polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.01ct)
Movement and Caseback | Caliber | High-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, time setting by a corrector on the case-back
Movement and Caseback | Caseback | Engraved with Hortensia decoration & “Limited Edition”
Bracelet and Buckle | Bracelet | Light pink powdered satin strap, with beige leather lining
Bracelet and Buckle | Buckle | Flower-shaped stainless steel pin buckle

Case | Material | Stainless steel, bezel set with 27 brilliant-cut diamonds (0,40 cts) and decorated with 3 flowers of stainless steel set with 3 brilliant-cut diamonds (0,026 cts)
Case | Diameter | 21.5mm
Case | Thickness | 7.7mm
Case | Glass | Curved sapphire crystal with anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | Pink seawater mother-of-pearl dial
Dial and Hands | Hands | Leaf-shaped; rhodium plated and polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.01ct)
Movement and Caseback | Caliber | High-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, time setting by a corrector on the case-back
Movement and Caseback | Caseback | Engraved with Hortensia decoration & “Limited Edition”
Bracelet and Buckle | Bracelet | Light pink powdered satin strap, with beige leather lining
Bracelet and Buckle | Buckle | Flower-shaped stainless steel pin buckle

Case | Material | Stainless steel, bezel set with 27 brilliant-cut diamonds (0,40 cts) and decorated with 3 flowers of stainless steel set with 3 brilliant-cut diamonds (0,026 cts)
Case | Diameter | 21.5mm
Case | Thickness | 7.7mm
Case | Glass | Curved sapphire crystal with anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | Pink seawater mother-of-pearl dial
Dial and Hands | Hands | Leaf-shaped; rhodium plated and polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.01ct)
Movement and Caseback | Caliber | High-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, time setting by a corrector on the case-back
Movement and Caseback | Caseback | Engraved with Hortensia decoration & “Limited Edition”
Bracelet and Buckle | Bracelet | Light pink powdered satin strap, with beige leather lining
Bracelet and Buckle | Buckle | Flower-shaped stainless steel pin buckle

Case | Material | Stainless steel, bezel set with 27 brilliant-cut diamonds (0,40 cts) and decorated with 3 flowers of stainless steel set with 3 brilliant-cut diamonds (0,026 cts)
Case | Diameter | 21.5mm
Case | Thickness | 7.7mm
Case | Glass | Curved sapphire crystal with anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | Pink seawater mother-of-pearl dial
Dial and Hands | Hands | Leaf-shaped; rhodium plated and polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.01ct)
Movement and Caseback | Caliber | High-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, time setting by a corrector on the case-back
Movement and Caseback | Caseback | Engraved with Hortensia decoration & “Limited Edition”
Bracelet and Buckle | Bracelet | Light pink powdered satin strap, with beige leather lining
Bracelet and Buckle | Buckle | Flower-shaped stainless steel pin buckle

Case | Material | Stainless steel, bezel set with 27 brilliant-cut diamonds (0,40 cts) and decorated with 3 flowers of stainless steel set with 3 brilliant-cut diamonds (0,026 cts)
Case | Diameter | 21.5mm
Case | Thickness | 7.7mm
Case | Glass | Curved sapphire crystal with anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | Pink seawater mother-of-pearl dial
Dial and Hands | Hands | Leaf-shaped; rhodium plated and polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.01ct)
Movement and Caseback | Caliber | High-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, time setting by a corrector on the case-back
Movement and Caseback | Caseback | Engraved with Hortensia decoration & “Limited Edition”
Bracelet and Buckle | Bracelet | Light pink powdered satin strap, with beige leather lining
Bracelet and Buckle | Buckle | Flower-shaped stainless steel pin buckle

Case | Material | Stainless steel, bezel set with 27 brilliant-cut diamonds (0,40 cts) and decorated with 3 flowers of stainless steel set with 3 brilliant-cut diamonds (0,026 cts)
Case | Diameter | 21.5mm
Case | Thickness | 7.7mm
Case | Glass | Curved sapphire crystal with anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | Pink seawater mother-of-pearl dial
Dial and Hands | Hands | Leaf-shaped; rhodium plated and polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.01ct)
Movement and Caseback | Caliber | High-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, time setting by a corrector on the case-back
Movement and Caseback | Caseback | Engraved with Hortensia decoration & “Limited Edition”
Bracelet and Buckle | Bracelet | Light pink powdered satin strap, with beige leather lining
Bracelet and Buckle | Buckle | Flower-shaped stainless steel pin buckle

Case | Material | Stainless steel, bezel set with 27 brilliant-cut diamonds (0,40 cts) and decorated with 3 flowers of stainless steel set with 3 brilliant-cut diamonds (0,026 cts)
Case | Diameter | 21.5mm
Case | Thickness | 7.7mm
Case | Glass | Curved sapphire crystal with anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | Pink seawater mother-of-pearl dial
Dial and Hands | Hands | Leaf-shaped; rhodium plated and polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.01ct)
Movement and Caseback | Caliber | High-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, time setting by a corrector on the case-back
Movement and Caseback | Caseback | Engraved with Hortensia decoration & “Limited Edition”
Bracelet and Buckle | Bracelet | Light pink powdered satin strap, with beige leather lining
Bracelet and Buckle | Buckle | Flower-shaped stainless steel pin buckle

Case | Material | Stainless steel, bezel set with 27 brilliant-cut diamonds (0,40 cts) and decorated with 3 flowers of stainless steel set with 3 brilliant-cut diamonds (0,026 cts)
Case | Diameter | 21.5mm
Case | Thickness | 7.7mm
Case | Glass | Curved sapphire crystal with anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | Pink seawater mother-of-pearl dial
Dial and Hands | Hands | Leaf-shaped; rhodium plated and polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.01ct)
Movement and Caseback | Caliber | High-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, time setting by a corrector on the case-back
Movement and Caseback | Caseback | Engraved with Hortensia decoration & “Limited Edition”
Bracelet and Buckle | Bracelet | Light pink powdered satin strap, with beige leather lining
Bracelet and Buckle | Buckle | Flower-shaped stainless steel pin buckle

Case | Material | 18-carat white gold, bezel paved with 72 brilliant-cut diamonds (1.3cts) and inlaid with yellow and rose gold threads
Case | Diameter | 35mm
Case | Thickness | 10mm
Case | Crown | 18-carat white gold, paved with 12 brilliant-cut diamonds (0.06ct) & 1 rose-cut diamond (0.11ct)
Case | Glass | curved sapphire, anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | Grey seawater mother-of-pearl, white, rose and yellow gold decor paved with 111 brilliant cut diamonds (0.17ct)
Dial and Hands | Hands | Stick, polished, white gold-plated
Movement and Caseback | Movement | Swiss mechanical self-winding
Movement and Caseback | Function | Hours and Minutes, set via crown
Movement and Caseback | Caseback | Skeleton with sapphire crystal, engraved with “X/3”
Movement and Caseback | Characteristics | 42h power reserve, 21 jewels, frequency 28,800 vibrations/h
Bracelet and Buckle | Bracelet | Grey alligator leather strap
Bracelet and Buckle | Buckle | 18-carat white gold pin buckle, paved with 53 brilliant-cut diamonds (0.18ct)

Case | Material | 18-carat white gold, bezel paved with 72 brilliant-cut diamonds (1.3cts) and inlaid with yellow and rose gold threads
Case | Diameter | 35mm
Case | Thickness | 10mm
Case | Crown | 18-carat white gold, paved with 12 brilliant-cut diamonds (0.06ct) & 1 rose-cut diamond (0.11ct)
Case | Glass | curved sapphire, anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | Grey seawater mother-of-pearl, white, rose and yellow gold decor paved with 111 brilliant cut diamonds (0.17ct)
Dial and Hands | Hands | Stick, polished, white gold-plated
Movement and Caseback | Movement | Swiss mechanical self-winding
Movement and Caseback | Function | Hours and Minutes, set via crown
Movement and Caseback | Caseback | Skeleton with sapphire crystal, engraved with “X/3”
Movement and Caseback | Characteristics | 42h power reserve, 21 jewels, frequency 28,800 vibrations/h
Bracelet and Buckle | Bracelet | Grey alligator leather strap
Bracelet and Buckle | Buckle | 18-carat white gold pin buckle, paved with 53 brilliant-cut diamonds (0.18ct)

Case | Material | 18-carat white gold, bezel paved with 72 brilliant-cut diamonds (1.3cts) and inlaid with yellow and rose gold threads
Case | Diameter | 35mm
Case | Thickness | 10mm
Case | Crown | 18-carat white gold, paved with 12 brilliant-cut diamonds (0.06ct) & 1 rose-cut diamond (0.11ct)
Case | Glass | curved sapphire, anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | Grey seawater mother-of-pearl, white, rose and yellow gold decor paved with 111 brilliant cut diamonds (0.17ct)
Dial and Hands | Hands | Stick, polished, white gold-plated
Movement and Caseback | Movement | Swiss mechanical self-winding
Movement and Caseback | Function | Hours and Minutes, set via crown
Movement and Caseback | Caseback | Skeleton with sapphire crystal, engraved with “X/3”
Movement and Caseback | Characteristics | 42h power reserve, 21 jewels, frequency 28,800 vibrations/h
Bracelet and Buckle | Bracelet | Grey alligator leather strap
Bracelet and Buckle | Buckle | 18-carat white gold pin buckle, paved with 53 brilliant-cut diamonds (0.18ct)

Case | Material | 18-carat white gold, bezel paved with 72 brilliant-cut diamonds (1.3cts) and inlaid with yellow and rose gold threads
Case | Diameter | 35mm
Case | Thickness | 10mm
Case | Crown | 18-carat white gold, paved with 12 brilliant-cut diamonds (0.06ct) & 1 rose-cut diamond (0.11ct)
Case | Glass | curved sapphire, anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | Grey seawater mother-of-pearl, white, rose and yellow gold decor paved with 111 brilliant cut diamonds (0.17ct)
Dial and Hands | Hands | Stick, polished, white gold-plated
Movement and Caseback | Movement | Swiss mechanical self-winding
Movement and Caseback | Function | Hours and Minutes, set via crown
Movement and Caseback | Caseback | Skeleton with sapphire crystal, engraved with “X/3”
Movement and Caseback | Characteristics | 42h power reserve, 21 jewels, frequency 28,800 vibrations/h
Bracelet and Buckle | Bracelet | Grey alligator leather strap
Bracelet and Buckle | Buckle | 18-carat white gold pin buckle, paved with 53 brilliant-cut diamonds (0.18ct)

Case | Material | 18-carat white gold, bezel paved with 72 brilliant-cut diamonds (1.3cts) and inlaid with yellow and rose gold threads
Case | Diameter | 35mm
Case | Thickness | 10mm
Case | Crown | 18-carat white gold, paved with 12 brilliant-cut diamonds (0.06ct) & 1 rose-cut diamond (0.11ct)
Case | Glass | curved sapphire, anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | Grey seawater mother-of-pearl, white, rose and yellow gold decor paved with 111 brilliant cut diamonds (0.17ct)
Dial and Hands | Hands | Stick, polished, white gold-plated
Movement and Caseback | Movement | Swiss mechanical self-winding
Movement and Caseback | Function | Hours and Minutes, set via crown
Movement and Caseback | Caseback | Skeleton with sapphire crystal, engraved with “X/3”
Movement and Caseback | Characteristics | 42h power reserve, 21 jewels, frequency 28,800 vibrations/h
Bracelet and Buckle | Bracelet | Grey alligator leather strap
Bracelet and Buckle | Buckle | 18-carat white gold pin buckle, paved with 53 brilliant-cut diamonds (0.18ct)
